tweet,label
:loudspeaker: coronavirus updates :check_mark_button: india's covid19 recovery rate improves 77.65 september 11 2020 :round_pushpin: steady improvement india's covid 19 recovery rate since lockdown initiation march 25 2020 india fights corona <user> via <user> <url>,1
brazilian new minister health nelson teich investigating covid 19 statistic alleged fraud number case death falling brazil week april 24,0
say poem people staying home written kathleen mara 1869,0
"report outbreak idiocy spreading 10,000 time faster coronavirus covid19 <url>",0
video burqa-clad muslim woman denied food kit distributed help people current crisis india due covid 19 muslim,0
heard straight president want terminate health care million american middle global pandemic can't let happen <url>,0
u highest number covid19 death world pass grim 200000 milestone according data john hopkins university <url>,1
india fights corona unprecedented surge covid recovery india 100 increase patient recovered discharged past 29 day <url>,1
image show covid 19 patient state coronavirus isolation ward pakistan,0
louisiana stripper say contract coronavirus make point attend � <url> donald trump,0
<user> <user> <user> lucky grapefruit make quinine hydtoxychloroquine different chemical getting somewhat effective anti-malarial treatment side effect effect sars-cov 2 virus cause covid 19 <url>,0
covid19 end data-driven prediction covid 19 pandemic end date singapore univeristy trchnology design <url> covid 19 covid19 covid19 pakistan,0
number newly reported covid 19 death includes 322 death texas state reported today however texas also removed 200 death cumulative total due automation error cumulative count <url> reflect adjustment,1
alert level update full update follow ): auckland stay alert level 3 11.59 pm 30 august 2020 rest country continue remain alert level 2 <url>,1
italian doctor worked shenzhen hospital china issued series instuctions locating treating new coronavirus sars-cov 2,0
birx say covid 19 outbreak control ‘ people move <url>,0
<user> kia os 350 probable case part total number returned negative test still considered probable suspected case covid 19 probable case returned positive test currently quarantine,1
news celebrity genuinely belief anyone give shit ‘ lockdown recommendation <url> <url>,0
rt <user> help prevent spread covid19 avoid close contact people sick wash hand often least 20 secon,1
daily update published tracked 9.7 million test 306k yesterday note track test state report detail see <url> <url>,1
anthony scaramucci say know donald trump want get tested coronavirus <url> donald trump,0
<user> hi alert level 2 library able open,1
winner debate shall swallow vial covid 19 ... survive whisper grinning lester holt democratic debate coronavirus <url>,0
post claim sister bharatiya janata party leader kapil mishra married muslim man,0
india fights corona 28 state ut case fatality rate cfr lower national average stand today 1.70 continuously declining secretary <user> stay safe india will win <user> <url>,1
india fights corona japan commits r 3500 crore approx official development assistance health sector fight covid19 crisis india read detail <url> stay safe india will win <user> <user> <user> <user>,1
wuhan spelled backwards nahuw way josé coronavirus start <url> coronavirus richard nixon napoleon,0
false <user> mike pence's claim oklahoma flattened covid 19 curve data show oklahoma daily caseload risen consistently june level higher point pandemic <url> <url>,0
total number confirmed case covid 19 1458 number report world health organization,1
"video show bill gate admits vaccine doubt kill 700,000 people",0
sadly 11 people hospital covid 19 today 2 auckland city 3 middlemore 3 north shore 2 waikato 1 christchurch hospital 9 people ward 2 icu ​ sending family aroha,1
india fights corona coronavirus update steady march india conduct total nearly 3.6 crore test test per million tpm scale new peak 26016 <url> <url>,1
total number confirmed case remains 1205 number report world health organization,1
